repo_name,repo_owner,repo_updated_at,repo_created_at,repo_stargazers_count,repo_forks
kkrt-labs/kakarot,kkrt-labs,2023-06-10T16:12:50Z,2022-10-04T14:33:18Z,453,93
ZeroSync/ZeroSync,ZeroSync,2023-06-09T15:19:11Z,2022-07-08T14:56:27Z,290,29
starknet-edu/starknet-cairo-101,starknet-edu,2023-06-07T23:08:37Z,2022-07-05T15:00:25Z,259,131
shramee/starklings-cairo1,shramee,2023-06-09T13:06:27Z,2023-01-05T10:04:40Z,249,101
keep-starknet-strange/alexandria,keep-starknet-strange,2023-06-09T09:17:59Z,2022-11-25T08:26:42Z,115,42
starknet-id/contract,starknet-id,2023-06-09T18:46:22Z,2022-07-04T09:24:28Z,90,45
WTFAcademy/WTF-Cairo,WTFAcademy,2023-06-09T08:10:57Z,2022-11-24T04:15:05Z,87,25
keep-starknet-strange/garaga,keep-starknet-strange,2023-06-08T10:04:06Z,2023-01-02T14:10:06Z,76,13
starknet-edu/starknet-erc721,starknet-edu,2023-05-29T03:39:44Z,2022-07-05T15:13:51Z,73,49
starknet-edu/starknet-accounts,starknet-edu,2023-06-07T14:11:57Z,2022-06-02T02:36:25Z,70,20
maxgillett/stark-attestations,maxgillett,2023-05-11T11:58:06Z,2022-06-18T19:40:37Z,69,4
kkrt-labs/kakarot-ssj,kkrt-labs,2023-06-09T04:30:43Z,2023-02-09T13:57:11Z,51,14
starknet-edu/starknet-erc20,starknet-edu,2023-06-05T06:37:03Z,2022-07-05T15:13:41Z,48,24
10k-swap/10k_swap-contracts,10k-swap,2023-05-29T12:56:28Z,2022-07-14T02:58:29Z,44,12
enitrat/cairo1-template,enitrat,2023-05-29T09:36:01Z,2023-02-09T12:47:59Z,42,4
starknet-edu/deploy-cairo1-demo,starknet-edu,2023-05-30T11:51:12Z,2023-03-22T09:20:25Z,42,14
ChecksFinance/soul-moment,ChecksFinance,2023-03-06T20:43:03Z,2022-06-05T08:55:55Z,38,0
HerodotusDev/cairo-mmr,HerodotusDev,2023-05-20T02:23:15Z,2022-10-30T13:19:34Z,34,0
starkoracles/Aero,starkoracles,2023-05-03T18:45:56Z,2023-02-17T19:38:41Z,32,1
starknet-edu/walking-with-starknet,starknet-edu,2023-05-29T02:31:47Z,2022-09-17T18:35:05Z,27,13
lucadonnoh/graphiro,lucadonnoh,2023-02-12T17:19:54Z,2022-06-24T18:04:18Z,26,1
Th0rgal/sphinx,Th0rgal,2023-03-08T17:10:04Z,2022-06-05T14:43:56Z,26,1
lucadonnoh/axelrod,lucadonnoh,2022-11-23T05:58:17Z,2022-07-03T16:30:46Z,26,0
wenzhenxiang/starkhitchhiker,wenzhenxiang,2023-04-20T14:24:43Z,2023-03-29T07:32:00Z,25,1
CairOpen/cairopen-contracts,CairOpen,2023-03-27T11:36:54Z,2022-06-03T06:48:43Z,24,5